Camera,Phase,Species,Detections,Latitude,Longitude,Operation,RAI,Ind_Dogs,Dogs_Scaled,LGD,Sheep,elevation.clean,slope.clean,vegetation.clean,fence.dist.clean,road.dist.clean,water.dist.clean,rugged9.clean,rugged25.clean,rugged49.clean,rugged81.clean,rugged121.clean,viewshed.clean,viewshed.reclass.clean,ndvi.16.clean.1,veg.edges.dist.clean,chap.edges.dist.clean,ndvi.16.clean.2
G11,2,Dogs,0,39.009,-123.05591,356,0,0,,N,,0.388111562,,,,,,,,,,,,,,,,
A03,3,LYRU,2,39.0347,-123.10165,378,0.005291005,0,,N,,-0.403376549,,,,,,,,,,,,,,,,
A03,3,Dogs,0,39.0347,-123.10165,378,0,0,,N,,-0.403376549,,,,,,,,,,,,,,,,
A13,3,LYRU,0,39.00059,-123.10008,372,0,1,,Y,,-1.310959101,,,,,,,,,,,,,,,,
A13,3,Dogs,1,39.00059,-123.10008,372,0.002688172,1,,Y,,-1.310959101,,,,,,,,,,,,,,,,
B02,3,LYRU,1,39.03789,-123.09434,357,0.00280112,0,,N,,0.760355115,,,,,,,,,,,,,,,,
B02,3,Dogs,0,39.03789,-123.09434,357,0,0,,N,,0.760355115,,,,,,,,,,,,,,,,
B04,3,LYRU,2,39.03127,-123.09418,368,0.005434783,0,,N,,-0.090064593,,,,,,,,,,,,,,,,
B04,3,Dogs,0,39.03127,-123.09418,368,0,0,,N,,-0.090064593,,,,,,,,,,,,,,,,
B06,3,LYRU,0,39.02517,-123.09378,368,0,0,,N,,-0.175824359,,,,,,,,,,,,,,,,
B06,3,Dogs,0,39.02517,-123.09378,368,0,0,,N,,-0.175824359,,,,,,,,,,,,,,,,
B08,3,LYRU,1,39.0181,-123.0933,376,0.002659574,0,,N,,-0.631862342,,,,,,,,,,,,,,,,
B08,3,Dogs,0,39.0181,-123.0933,376,0,0,,N,,-0.631862342,,,,,,,,,,,,,,,,
