Camera,Camera_folder,Species,DateTimeOriginal,Date,Time,delta.time.secs,Directory,FileName,DST,Time_DST_Corrected,Time_Decimal,Time_Scaled,Time_Radians,Time_Sun
C11,C11_031617_060917,Sheep,5/17/2017 17:00,5/17/2017,17:00:58,978,Reviewed/C11_031617_060917/Sheep,IMG_2440.JPG,TRUE,17H 0M 58S,17.01611111,0.70900463,4.454807472,3.986122142
C11,C11_031617_060917,Sheep,5/17/2017 19:01,5/17/2017,19:01:36,1560,Reviewed/C11_031617_060917/Sheep,IMG_2527.JPG,TRUE,19H 1M 36S,19.02666667,0.792777778,4.981169685,4.425304522
C11,C11_031617_060917,Sheep,5/18/2017 7:36,5/18/2017,7:36:07,1121,Reviewed/C11_031617_060917/Sheep,IMG_2596.JPG,TRUE,7H 36M 7S,7.601944444,0.316747685,1.990184402,1.931945983
C11,C11_031617_060917,Sheep,5/18/2017 18:27,5/18/2017,18:27:58,1277,Reviewed/C11_031617_060917/Sheep,IMG_2773.JPG,TRUE,18H 27M 58S,18.46611111,0.769421296,4.834416584,4.30045276
C11,C11_031617_060917,Sheep,5/19/2017 18:07,5/19/2017,18:07:04,38502,Reviewed/C11_031617_060917/Sheep,IMG_2878.JPG,TRUE,18H 7M 4S,18.11777778,0.754907407,4.743223131,4.22227856
C11,C11_031617_060917,Sheep,5/20/2017 8:04,5/20/2017,8:04:35,8090,Reviewed/C11_031617_060917/Sheep,IMG_3109.JPG,TRUE,8H 4M 35S,8.076388889,0.336516204,2.114393667,2.039189616
C11,C11_031617_060917,Sheep,5/22/2017 19:40,5/22/2017,19:40:10,1263,Reviewed/C11_031617_060917/Sheep,IMG_3196.JPG,TRUE,19H 40M 10S,19.66944444,0.819560185,5.149448514,4.551522308
C11,C11_031617_060917,Sheep,5/23/2017 18:50,5/23/2017,18:50:56,48114,Reviewed/C11_031617_060917/Sheep,IMG_3259.JPG,TRUE,18H 50M 56S,18.84888889,0.78537037,4.934627572,4.371540739
C11,C11_031617_060917,Sheep,5/24/2017 7:26,5/24/2017,7:26:48,7070,Reviewed/C11_031617_060917/Sheep,IMG_3376.JPG,TRUE,7H 26M 48S,7.446666667,0.310277778,1.949532774,1.909940896
C11,C11_031617_060917,Sheep,5/24/2017 19:58,5/24/2017,19:58:11,1752,Reviewed/C11_031617_060917/Sheep,IMG_3466.JPG,TRUE,19H 58M 11S,19.96972222,0.832071759,5.228061052,4.610915608
C11,C11_031617_060917,Sheep,5/25/2017 8:14,5/25/2017,8:14:50,998,Reviewed/C11_031617_060917/Sheep,IMG_3529.JPG,TRUE,8H 14M 50S,8.247222222,0.343634259,2.159117729,2.083969434
C11,C11_031617_060917,Sheep,5/25/2017 12:35,5/25/2017,12:35:40,11155,Reviewed/C11_031617_060917/Sheep,IMG_3574.JPG,TRUE,12H 35M 40S,12.59444444,0.524768519,3.297217845,3.020064853
C11,C11_031617_060917,Sheep,5/25/2017 19:58,5/25/2017,19:58:34,1688,Reviewed/C11_031617_060917/Sheep,IMG_3739.JPG,TRUE,19H 58M 34S,19.97611111,0.832337963,5.229733659,4.609572819
C11,C11_031617_060917,Sheep,5/26/2017 9:29,5/26/2017,9:29:28,3078,Reviewed/C11_031617_060917/Sheep,IMG_3814.JPG,TRUE,9H 29M 28S,9.491111111,0.395462963,2.484767078,2.35267922
C11,C11_031617_060917,Sheep,5/26/2017 19:40,5/26/2017,19:40:20,958,Reviewed/C11_031617_060917/Sheep,IMG_3904.JPG,TRUE,19H 40M 20S,19.67222222,0.819675926,5.150175734,4.541570676
C11,C11_031617_060917,Sheep,5/28/2017 18:44,5/28/2017,18:44:17,79170,Reviewed/C11_031617_060917/Sheep,IMG_4102.JPG,TRUE,18H 44M 17S,18.73805556,0.780752315,4.905611473,4.336349505
C11,C11_031617_060917,Sheep,5/29/2017 7:37,5/29/2017,7:37:28,7939,Reviewed/C11_031617_060917/Sheep,IMG_4240.JPG,TRUE,7H 37M 28S,7.624444444,0.317685185,1.996074888,1.955268406
C11,C11_031617_060917,Sheep,5/29/2017 20:11,5/29/2017,20:11:20,1555,Reviewed/C11_031617_060917/Sheep,IMG_4360.JPG,TRUE,20H 11M 20S,20.18888889,0.841203704,5.285438751,4.644785838
C11,C11_031617_060917,Sheep,5/30/2017 7:11,5/30/2017,7:11:55,3368,Reviewed/C11_031617_060917/Sheep,IMG_4411.JPG,TRUE,7H 11M 55S,7.198611111,0.29994213,1.884591982,1.865359016
C11,C11_031617_060917,Sheep,5/30/2017 18:39,5/30/2017,18:39:26,953,Reviewed/C11_031617_060917/Sheep,IMG_4474.JPG,TRUE,18H 39M 26S,18.65722222,0.777384259,4.884449356,4.314862722
C11,C11_031617_060917,Sheep,5/31/2017 7:33,5/31/2017,7:33:02,7134,Reviewed/C11_031617_060917/Sheep,IMG_4594.JPG,TRUE,7H 33M 2S,7.550555556,0.314606481,1.976730822,1.941643895
C11,C11_031617_060917,Sheep,5/31/2017 18:54,5/31/2017,18:54:46,1137,Reviewed/C11_031617_060917/Sheep,IMG_4630.JPG,TRUE,18H 54M 46S,18.91277778,0.788032407,4.951353644,4.367409578
C11,C11_031617_060917,Sheep,6/1/2017 6:02,6/1/2017,6:02:54,35947,Reviewed/C11_031617_060917/Sheep,IMG_4660.JPG,TRUE,6H 2M 54S,6.048333333,0.252013889,1.583449964,1.622281817
C11,C11_031617_060917,Sheep,6/1/2017 18:48,6/1/2017,18:48:52,2145,Reviewed/C11_031617_060917/Sheep,IMG_4702.JPG,TRUE,18H 48M 52S,18.81444444,0.783935185,4.925610037,4.344408639
C11,C11_031617_060917,Sheep,6/1/2017 20:30,6/1/2017,20:30:38,939,Reviewed/C11_031617_060917/Sheep,IMG_4735.JPG,TRUE,20H 30M 38S,20.51055556,0.854606481,5.369650888,4.7060716
C11,C11_031617_060917,Sheep,6/2/2017 7:44,6/2/2017,7:44:20,2784,Reviewed/C11_031617_060917/Sheep,IMG_4765.JPG,TRUE,7H 44M 20S,7.738888889,0.322453704,2.026036373,1.983579143
C11,C11_031617_060917,Sheep,6/2/2017 20:15,6/2/2017,20:15:29,1843,Reviewed/C11_031617_060917/Sheep,IMG_4867.JPG,TRUE,20H 15M 29S,20.25805556,0.844085648,5.303546542,4.649911882
C11,C11_031617_060917,Sheep,6/3/2017 7:23,6/3/2017,7:23:05,6434,Reviewed/C11_031617_060917/Sheep,IMG_4984.JPG,TRUE,7H 23M 5S,7.384722222,0.307696759,1.933315757,1.908963138
