"","Phase","Camera","Camera_folder","Species","DateTimeOriginal","Date","Time","delta.time.secs","Directory","FileName","Classification","Sex","Age","BuckClass","DST","Time_DST_Corrected","Time_Decimal","Time_Scaled","Time_Radians","Time_Sun"
"10596",1,"C11","C11_031617_060917","Sheep","5/24/2017 7:26","5/24/2017","7:26:48",7070,"Reviewed/C11_031617_060917/Sheep","IMG_3376.JPG","Sheep",NA,NA,NA,TRUE,"7H 26M 48S",7.446666667,0.310277778,1.949532774,1.909940896
"10599",1,"C11","C11_031617_060917","Sheep","5/24/2017 19:58","5/24/2017","19:58:11",1752,"Reviewed/C11_031617_060917/Sheep","IMG_3466.JPG","Sheep",NA,NA,NA,TRUE,"19H 58M 11S",19.96972222,0.832071759,5.228061052,4.610915608
"10602",1,"C11","C11_031617_060917","Sheep","5/25/2017 8:14","5/25/2017","8:14:50",998,"Reviewed/C11_031617_060917/Sheep","IMG_3529.JPG","Sheep",NA,NA,NA,TRUE,"8H 14M 50S",8.247222222,0.343634259,2.159117729,2.083969434
"10605",1,"C11","C11_031617_060917","Sheep","5/25/2017 12:35","5/25/2017","12:35:40",11155,"Reviewed/C11_031617_060917/Sheep","IMG_3574.JPG","Sheep",NA,NA,NA,TRUE,"12H 35M 40S",12.59444444,0.524768519,3.297217845,3.020064853
"10608",1,"C11","C11_031617_060917","Sheep","5/25/2017 19:58","5/25/2017","19:58:34",1688,"Reviewed/C11_031617_060917/Sheep","IMG_3739.JPG","Sheep",NA,NA,NA,TRUE,"19H 58M 34S",19.97611111,0.832337963,5.229733659,4.609572819
"10611",1,"C11","C11_031617_060917","Sheep","5/26/2017 9:29","5/26/2017","9:29:28",3078,"Reviewed/C11_031617_060917/Sheep","IMG_3814.JPG","Sheep",NA,NA,NA,TRUE,"9H 29M 28S",9.491111111,0.395462963,2.484767078,2.35267922
"10614",1,"C11","C11_031617_060917","Sheep","5/26/2017 19:40","5/26/2017","19:40:20",958,"Reviewed/C11_031617_060917/Sheep","IMG_3904.JPG","Sheep",NA,NA,NA,TRUE,"19H 40M 20S",19.67222222,0.819675926,5.150175734,4.541570676
"10617",1,"C11","C11_031617_060917","Sheep","5/28/2017 18:44","5/28/2017","18:44:17",79170,"Reviewed/C11_031617_060917/Sheep","IMG_4102.JPG","Sheep",NA,NA,NA,TRUE,"18H 44M 17S",18.73805556,0.780752315,4.905611473,4.336349505
"10620",1,"C11","C11_031617_060917","Sheep","5/29/2017 7:37","5/29/2017","7:37:28",7939,"Reviewed/C11_031617_060917/Sheep","IMG_4240.JPG","Sheep",NA,NA,NA,TRUE,"7H 37M 28S",7.624444444,0.317685185,1.996074888,1.955268406
"10623",1,"C11","C11_031617_060917","Sheep","5/29/2017 20:11","5/29/2017","20:11:20",1555,"Reviewed/C11_031617_060917/Sheep","IMG_4360.JPG","Sheep",NA,NA,NA,TRUE,"20H 11M 20S",20.18888889,0.841203704,5.285438751,4.644785838
